population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,Country Name,Country Code,gdp_per_capita_ppp,log_gdp,predicted,residual
1,All Population,2,DALYs (Disability-Adjusted Life Years),22,Fiji,3,Both,22,All ages,632,Gout,3,Rate,2021,23.28284078007805,33.98755770569532,15.170045152880226,Fiji,FJI,10322.4279638854,9.242074279182773,15.80547519218726,7.477365587890791
1,All Population,2,DALYs (Disability-Adjusted Life Years),40,Turkmenistan,3,Both,22,All ages,632,Gout,3,Rate,2021,11.81943460985345,17.18845736563889,7.944000075081299,Turkmenistan,TKM,16434.1399060353,9.707116151661376,19.267600376878093,-7.448165767024642
1,All Population,2,DALYs (Disability-Adjusted Life Years),63,Ukraine,3,Both,22,All ages,632,Gout,3,Rate,2021,21.256426973282704,29.435516504647268,14.396208468839667,Ukraine,UKR,17846.408203125,9.789557545846655,19.881356780250158,1.3750701930325455
1,All Population,2,DALYs (Disability-Adjusted Life Years),28,Solomon Islands,3,Both,22,All ages,632,Gout,3,Rate,2021,13.66452995569615,20.03585129078605,9.029919359704728,Solomon Islands,SLB,2449.87009821452,7.803790280996172,5.097795846412289,8.56673410928386
1,All Population,2,DALYs (Disability-Adjusted Life Years),39,Tajikistan,3,Both,22,All ages,632,Gout,3,Rate,2021,7.904850353545947,11.65299892136682,5.222439951400328,Tajikistan,TJK,3985.91247611219,8.290521542707326,8.72139333101098,-0.8165429774650326
1,All Population,2,DALYs (Disability-Adjusted Life Years),29,Tonga,3,Both,22,All ages,632,Gout,3,Rate,2021,20.522276037349624,29.8319801997962,13.7750433078767,Tonga,TON,6929.17669288438,8.843496281790687,12.838157613922803,7.6841184234268205
1,All Population,2,DALYs (Disability-Adjusted Life Years),52,Romania,3,Both,22,All ages,632,Gout,3,Rate,2021,18.72733500671242,27.16273901837485,12.33685494159104,Romania,ROU,37534.1559176911,10.533006621881357,25.416156810097576,-6.6888218033851565
1,All Population,2,DALYs (Disability-Adjusted Life Years),50,Montenegro,3,Both,22,All ages,632,Gout,3,Rate,2021,17.704846008485685,26.01452496996539,11.190129319693895,Montenegro,MNE,23690.0773513056,10.072811562293369,21.99011498470651,-4.285268976220824
1,All Population,2,DALYs (Disability-Adjusted Life Years),67,Japan,3,Both,22,All ages,632,Gout,3,Rate,2021,47.32536558889703,67.99774380965772,31.24561039294873,Japan,JPN,44355.3487163354,10.699988582863483,26.659297453377775,20.666068135519254
1,All Population,2,DALYs (Disability-Adjusted Life Years),51,Poland,3,Both,22,All ages,632,Gout,3,Rate,2021,18.579475643917924,26.428146760600544,12.294687508943335,Poland,POL,41059.5847829682,10.622779578075816,26.084494933906598,-7.505019289988674
1,All Population,2,DALYs (Disability-Adjusted Life Years),45,Bulgaria,3,Both,22,All ages,632,Gout,3,Rate,2021,20.706365850126925,30.06088740992886,13.539979206506276,Bulgaria,BGR,30959.1118459807,10.340422640146853,23.982415263820485,-3.27604941369356
1,All Population,2,DALYs (Disability-Adjusted Life Years),34,Azerbaijan,3,Both,22,All ages,632,Gout,3,Rate,2021,15.233764092977893,22.417289143888883,10.218133336281472,Azerbaijan,AZE,20111.3756952109,9.90904088894066,20.77088160749213,-5.537117514514236
1,All Population,2,DALYs (Disability-Adjusted Life Years),74,Andorra,3,Both,22,All ages,632,Gout,3,Rate,2021,35.339897133813224,51.19174610514916,22.96374426355237,Andorra,AND,59332.2029100127,10.990907488346181,28.825118918025964,6.51477821578726
1,All Population,2,DALYs (Disability-Adjusted Life Years),47,Czechia,3,Both,22,All ages,632,Gout,3,Rate,2021,19.329946500238293,28.383303722564012,12.953268091951266,Czechia,CZE,47796.0337408466,10.774697938903921,27.215490687550542,-7.885544187312249
1,All Population,2,DALYs (Disability-Adjusted Life Years),30,Vanuatu,3,Both,22,All ages,632,Gout,3,Rate,2021,15.006120225223151,21.825309090445742,9.913728673621348,Vanuatu,VUT,3135.83664945678,8.050651291292448,6.935616850163484,8.070503375059667
1,All Population,2,DALYs (Disability-Adjusted Life Years),41,Uzbekistan,3,Both,22,All ages,632,Gout,3,Rate,2021,11.86706083666139,16.99344650482741,7.855301969280288,Uzbekistan,UZB,9247.64382703929,9.132124076658307,14.986922309641557,-3.1198614729801672
1,All Population,2,DALYs (Disability-Adjusted Life Years),36,Kazakhstan,3,Both,22,All ages,632,Gout,3,Rate,2021,14.305756386402416,20.96710137780884,9.37735044846851,Kazakhstan,KAZ,32945.8515725823,10.402620631324142,24.445464387858195,-10.139708001455778
1,All Population,2,DALYs (Disability-Adjusted Life Years),77,Cyprus,3,Both,22,All ages,632,Gout,3,Rate,2021,26.695473535236665,38.90060569331953,17.974541768326333,Cyprus,CYP,47632.76953125,10.771276238886937,27.190016951733767,-0.4945434164971019
1,All Population,2,DALYs (Disability-Adjusted Life Years),78,Denmark,3,Both,22,All ages,632,Gout,3,Rate,2021,33.628797410048016,49.73016109931022,21.59930458886959,Denmark,DNK,69715.1809680929,11.152173377452947,30.025704777385926,3.60309263266209
1,All Population,2,DALYs (Disability-Adjusted Life Years),87,Luxembourg,3,Both,22,All ages,632,Gout,3,Rate,2021,30.087943043147348,44.0851962821386,19.815556168181253,Luxembourg,LUX,136772.443753292,11.826073829327964,35.04273198393791,-4.954788940790564
1,All Population,2,DALYs (Disability-Adjusted Life Years),86,Italy,3,Both,22,All ages,632,Gout,3,Rate,2021,34.508804940628025,49.502573437547696,22.67228415000566,Italy,ITA,49825.3934111848,10.816280040909026,27.525059462114783,6.983745478513242
1,All Population,2,DALYs (Disability-Adjusted Life Years),57,Belarus,3,Both,22,All ages,632,Gout,3,Rate,2021,19.25274830228589,27.88158094362623,13.149337341230474,Belarus,BLR,27611.1801135157,10.22597604626053,23.130387826196255,-3.8776395239103643
1,All Population,2,DALYs (Disability-Adjusted Life Years),76,Belgium,3,Both,22,All ages,632,Gout,3,Rate,2021,32.95766898697291,47.35160348202811,21.695680033660828,Belgium,BEL,60669.2137746531,11.013191661805944,28.991019243826443,3.966649743146469
1,All Population,2,DALYs (Disability-Adjusted Life Years),85,Israel,3,Both,22,All ages,632,Gout,3,Rate,2021,23.383553799615964,34.27837184379404,15.371029588437867,Israel,ISR,46162.0822730247,10.739914010065442,26.956532681441686,-3.5729788818257227
1,All Population,2,DALYs (Disability-Adjusted Life Years),69,Singapore,3,Both,22,All ages,632,Gout,3,Rate,2021,38.71839989991545,56.97686134525244,25.574737850410227,Singapore,SGP,132617.354020876,11.795223223139416,34.81305662141824,3.905343278497206
1,All Population,2,DALYs (Disability-Adjusted Life Years),58,Estonia,3,Both,22,All ages,632,Gout,3,Rate,2021,23.341347881479468,33.22034802759693,15.693481275353852,Estonia,EST,44251.5374983455,10.697645395557778,26.641852985978986,-3.3005051044995177
1,All Population,2,DALYs (Disability-Adjusted Life Years),72,New Zealand,3,Both,22,All ages,632,Gout,3,Rate,2021,72.89478301694453,102.56003652480304,49.01718242085716,New Zealand,NZL,48248.7176729892,10.784124529688352,27.285669394656225,45.609113622288305
